ref,title,price,image,quantity,size,chain_size,amazonite,amethyst,amethysts,aquamarines,aventurine,black ceramic,black lacquer,bracelets,brown diamonds,carnelian,carnelians,ceramic,chrysoprase,chrysoprases,citrine,coral,diamond,diamonds,earrings,emeralds,garnets,gray mother_of_pearl,lacquer,lapis lazuli,malachite,mother_of_pearl,necklaces,non_rhodiumized white gold,obsidians,onyx,pearl,peridots,pink gold,pink sapphire,pink sapphires,platinum,rings,rubies,sapphire,sapphires,spessartite garnet,spinels,tsavorite garnet,tsavorite garnets,white gold,white mother_of_pearl,yellow gold
 B4084600,Love ring,1650,https://www.cartier.com/content/dam/rcq/car/58/71/74/587174.png,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4084900,Love ring,3650,https://www.cartier.com/content/dam/rcq/car/19/43/98/1/1943981.png,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 B4084800,Love ring,1650,https://www.cartier.com/content/dam/rcq/car/10/28/64/0/1028640.png,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4084700,Love ring,1770,https://www.cartier.com/content/dam/rcq/car/10/28/63/6/1028636.png,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4085000,Love wedding band,1070,https://www.cartier.com/content/dam/rcq/car/59/18/04/591804.png,46,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4085200,Love wedding band,1070,https://www.cartier.com/content/dam/rcq/car/58/73/14/587314.png,11,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4085100,Love wedding band,1140,https://www.cartier.com/content/dam/rcq/car/59/22/21/592221.png,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4085300,Love wedding band,2380,https://www.cartier.com/content/dam/rcq/car/62/40/10/624010.png,41,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 B4032400,"Love ring, 3 diamonds",3500,https://www.cartier.com/content/dam/rcq/car/58/47/16/584716.png,9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4087500,"Love ring, 3 diamonds",3500,https://www.cartier.com/content/dam/rcq/car/58/39/70/583970.png,50,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4032500,"Love ring, 3 diamonds",3750,https://www.cartier.com/content/dam/rcq/car/58/36/97/583697.png,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4056100,"Love wedding band, 1 diamond",2020,https://www.cartier.com/content/dam/rcq/car/63/23/97/632397.png,49,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4050700,"Love wedding band, 1 diamond",2020,https://www.cartier.com/content/dam/rcq/car/59/04/56/590456.png,45,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4050500,"Love wedding band, 1 diamond",2160,https://www.cartier.com/content/dam/rcq/car/58/35/46/583546.png,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4097500,Love ring,5250,https://www.cartier.com/content/dam/rcq/car/96/38/85/963885.png,40,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4056200,"Love wedding band, 8 diamonds",3550,https://www.cartier.com/content/dam/rcq/car/63/24/04/632404.png,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4050800,"Love wedding band, 8 diamonds",3550,https://www.cartier.com/content/dam/rcq/car/63/24/01/632401.png,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 B4050600,"Love wedding band, 8 diamonds",3800,https://www.cartier.com/content/dam/rcq/car/58/38/22/583822.png,42,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 B4218000,"Love ring, SM",4500,https://www.cartier.com/content/dam/rcq/car/10/57/33/0/1057330.png,11,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 B4218100,"Love ring, SM",4500,https://www.cartier.com/content/dam/rcq/car/10/57/33/2/1057332.png,2,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
